  julian_date mpsi  mwsi
 j1514.216  0.7015367  0.0987325
 j1516.166  1.1450740  0.2633100
 j1517.152  1.2479720  0.3620476
 j1518.153  1.5175090  0.3357584
 j1519.168  1.3058190  0.2236264
 j1520.174  1.4058549  0.1702402
 j1521.245  1.5928791  0.2834368
 j1522.258  1.4947370  0.0853654
 j1523.248  1.3029031  0.1190211
 j1524.285  1.4381080  0.1947257
 j1525.189  1.7416019  0.2603282
 j1526.166  2.1201401  0.4827625
 j1527.204  2.1309550  0.5358745
 j1528.294  2.4069090  0.5716970
 j1529.277  2.0535040  0.4995263
 j1530.285  2.2488720  0.6481076
 j1531.170  2.4128380  0.8553336
 j1532.177  2.2299049  0.7611408
 j1533.207  1.5621020  0.3214427
 j1534.181  2.6803541  1.3830220
 j1536.233  1.9594350  0.5262409
 j1537.293  1.7119360  0.2831849
 j1538.211  1.6418910  0.2607805
 j1540.165  1.0487260  0.0764555
 j1541.159  0.7842292  0.0934306
 j1542.468  1.0994980  0.0852095
 j1543.188  1.1423450  0.0972093
 j1544.156  0.9849981  0.0700861
 j1545.180  0.9496454  0.0000000
 j1546.152  1.1381140  0.0823951
 j1547.431  1.1412510  0.2062597
 j1549.272  1.7294140  0.3202283
 j1550.264  1.6423960  0.2420823
 j1551.490  1.7916840  0.2093934
 j1552.199  2.0926180  0.3803266
 j1553.524  2.6156530  0.7161871
 j1554.212  2.6811509  0.7547472
 j1555.225  2.8277240  0.6775694
 j1556.260  2.3517280  0.4407128
 j1558.212  2.6375899  0.4841407
 j1561.289  2.7540691  0.7367659
 j1562.243  2.7336011  0.7858996
 j1567.181  1.3785239  0.1596673
 j1568.185  1.0879340  0.0814153
 j1569.271  1.2630000  0.1713237
 j1570.184  0.9957505  0.0620207
 j1573.234  1.0831200  0.1616397
 j1574.184  1.0631230  0.1055307
 j1575.261  1.0998580  0.1166149
 j1576.196  1.0018640  0.0609105
 j1577.212  1.5265310  0.2053348
 j1580.201  1.5099740  0.0317093
 j1581.188  1.7836330  0.1023317
 j1582.184  1.2037140  0.0808202
 j1584.166  1.3341740  0.1895465
 j1586.156  1.7583489  0.4293411
 j1587.295  1.9090190  0.3742061
 j1588.196  1.9767240  0.3502038
 j1589.451  2.1458149  0.4193631
 j1591.221  1.5424360  0.1405316
 j1592.417  1.7853650  0.3652302
 j1597.454  1.1817991  0.0443508
 j1598.436  1.1492660  0.0520285
 j1602.442  0.5513425  0.0098658
 j1603.459  0.7850899  0.0090454
 j1604.195  0.7570841  0.0092802
 j1606.197  1.2597750  0.0280433
 j1612.195  1.3160020  0.1834133
 j1613.197  1.5552230  0.2114999
 j1614.195  1.4888279  0.2119301
 j1615.273  1.5810230  0.3120666
 j1616.225  1.5970370  0.5851419
 j1619.253  1.4566600  0.7609875
 j1620.253  1.7079830  0.6865758
 j1622.397  1.4139390  0.4576125
 j1624.442  1.1538090  0.2401484
 j1625.207  1.0167871  0.1184455
 j1628.227  0.4055974  0.0000000
 j1630.249  0.1790102  0.0000000
 j1631.223  0.2004576  0.0000000
 j1640.268  0.7530857  0.0878207
 j1642.245  0.6079518  0.0766187
 j1645.233  1.3413320  0.1305025
 j1646.215  1.5822440  0.1744658
 j1647.211  1.1237460  0.0972734
 j1648.227  1.4901340  0.0831567
 j1649.213  1.0813330  0.0437948
 j1650.220  1.1062890  0.0569344
 j1651.211  1.0503070  0.0330493
 j1652.233  0.6214184  0.0478224
 j1653.236  0.7326000  0.0859692
 j1654.249  0.5722378  0.0297775
 j1655.241  0.4812084  0.0118352
 j1663.232  0.7132546  0.0598834
 j1664.241  0.7767605  0.2386230
 j1665.240  0.8980061  0.1421037
 j1666.430  1.2300000  0.3201941
 j1668.258  1.1045721  0.2312244
 j1670.207  1.3905740  0.1456146
 j1671.199  1.1937931  0.0696285
 j1672.196  1.1043950  0.0895138
 j1673.268  1.2106370  0.1041927
 j1674.250  1.3016260  0.1356336
 j1675.305  1.4439120  0.1624337
 j1676.308  0.9948255  0.0645388
 j1678.244  0.8961053  0.1202918
 j1679.218  0.6735604  0.0733205
 j1682.241  0.2802120  0.0101416
 j1683.231  0.4105407  0.1033686
 j1685.255  0.6094167  0.1172634
 j1688.235  0.8873842  0.2100844
 j1689.279  1.1279531  0.3835102
 j1690.236  1.2716620  0.4513882
 j1693.260  0.8303460  0.0326158
 j1694.283  1.2142520  0.0948185
 j1695.275  0.9786791  0.0486041
 j1696.298  0.8274812  0.0000000
 j1697.238  0.8140361  0.0276067
 j1703.270  0.7123986  0.0675247
 j1705.229  0.6004947  0.0212531
 j1710.243  0.5124456  0.0000000
 j1711.241  0.6494783  0.0096887
 j1712.293  0.6405406  0.0086160
 j1713.471  0.7524855  0.0195694
 j1714.231  0.8102992  0.0090810
 j1715.231  0.8074379  0.0000000
 j1723.223  0.8525106  0.1010298
 j1727.314  1.1706010  0.1307689
 j1730.232  0.6469275  0.0655866
 j1731.222  0.5595292  0.0553996
 j1732.264  0.4731896  0.0326940
 j1733.232  0.4892473  0.0381462
 j1739.212  0.4655457  0.1511599
 j1744.241  0.6984087  0.0900718
 j1745.198  0.6008019  0.0613404
 j1751.209  0.7038900  0.1650994
 j1752.210  0.8499651  0.1530001
 j1756.230  0.9045616  0.1852366
 j1757.208  0.8341523  0.1613522
 j1758.215  0.8176845  0.1558511
 j1759.231  0.5297594  0.0536221
 j1760.195  0.4314837  0.0361445
 j1761.180  0.3074248  0.0422602
 j1764.494  0.2713426  0.0882002
 j1765.223  0.3298340  0.0467147
 j1766.215  0.3510078  0.0565614
 j1767.204  0.3107947  0.0750022
 j1771.218  0.4109715  0.2042971
 j1773.178  0.6546829  0.1953217
 j1774.242  0.7044896  0.2093797
 j1775.198  0.7757336  0.1686694
 j1778.188  0.8867420  0.1316091
 j1779.212  1.1775531  0.1437882
 j1780.458  1.0621949  0.0603991
 j1781.229  1.0537460  0.1741551
 j1784.229  0.8860816  0.1310869
 j1785.198  0.6916401  0.0576617
 j1786.191  0.5265083  0.0690242
 j1787.196  0.4100940  0.0523784
 j1789.313  0.2050155  0.0091878
 j1790.229  0.1528353  0.0000000
 j1792.187  0.2403800  0.0221499
 j1793.187  0.3435910  0.1972818
