 980815  6802.50  1365.3517
 980816  6803.50  1365.3387
 980817  6804.50  1365.6760
 980818  6805.50  1365.9143
 980819  6806.50  1366.1204
 980820  6807.50  1366.1645
 980821  6808.50  1366.1305
 980822  6809.50  1365.9533
 980823  6810.50  1365.9483
 980824  6811.50  1366.0214
 980825  6812.50  1366.0414
 980826  6813.50  1366.2566
 980827  6814.50  1366.2566
 980828  6815.50  1366.2606
 980829  6816.50  1366.1555
 980830  6817.50  1365.9883
 980831  6818.50  1365.7321
 980901  6819.50  1365.7331
 980902  6820.50  1365.4648
 980903  6821.50  1365.2476
 980904  6822.50  1365.1756
 980905  6823.50  1365.3227
 980906  6824.50  1365.5509
 980907  6825.50  1365.7281
 980908  6826.50  1365.8272
 980909  6827.50   -99.0000
 980910  6828.50   -99.0000
 980911  6829.50   -99.0000
 980912  6830.50   -99.0000
 980913  6831.50   -99.0000
 980914  6832.50   -99.0000
 980915  6833.50   -99.0000
 980916  6834.50  1366.2976
 980917  6835.50  1366.2536
 980918  6836.50  1366.2135
 980919  6837.50  1366.3016
 980920  6838.50  1366.1124
 980921  6839.50  1366.0404
 980922  6840.50  1365.9433
 980923  6841.50  1365.7411
 980924  6842.50  1365.7171
 980925  6843.50  1365.7851
 980926  6844.50  1365.9583
 980927  6845.50  1366.1074
 980928  6846.50  1366.2356
 980929  6847.50  1366.3627
 980930  6848.50  1366.5118
 981001  6849.50  1366.4428
 981002  6850.50  1366.3457
 981003  6851.50  1366.2466
 981004  6852.50  1366.2426
 981005  6853.50  1366.1194
 981006  6854.50  1366.1855
 981007  6855.50  1366.0344
 981008  6856.50  1366.1584
 981009  6857.50  1366.1452
 981010  6858.50  1366.1663
 981011  6859.50  1366.1968
 981012  6860.50  1366.2268
 981013  6861.50  1366.1936
 981014  6862.50  1366.0508
 981015  6863.50  1365.9035
 981016  6864.50  1365.8512
 981017  6865.50  1365.9711
 981018  6866.50  1366.1046
 981019  6867.50  1366.1630
 981020  6868.50  1366.1560
 981021  6869.50  1365.9986
 981022  6870.50  1365.8921
 981023  6871.50  1366.0752
 981024  6872.50  1366.1707
 981025  6873.50  1366.1668
 981026  6874.50  1366.0776
 981027  6875.50  1366.0220
 981028  6876.50  1365.9551
 981029  6877.50  1365.9852
 981030  6878.50  1366.0993
 981031  6879.50  1366.1546
 981101  6880.50  1366.1820
 981102  6881.50  1366.0964
 981103  6882.50  1366.0192
 981104  6883.50  1365.9065
 981105  6884.50  1365.8458
 981106  6885.50  1365.8139
 981107  6886.50  1365.8047
 981108  6887.50  1365.7351
 981109  6888.50  1365.7963
 981110  6889.50  1365.8295
 981111  6890.50  1365.7832
 981112  6891.50  1365.7225
 981113  6892.50  1365.7819
 981114  6893.50  1365.7565
 981115  6894.50  1365.6919
 981116  6895.50  1365.6548
 981117  6896.50  1365.7136
 981118  6897.50  1365.8181
 981119  6898.50  1365.9794
 981120  6899.50  1365.9990
 981121  6900.50  1366.0076
 981122  6901.50  1365.9661
 981123  6902.50  1366.0169
 981124  6903.50  1366.0190
 981125  6904.50  1366.0956
 981126  6905.50  1366.1633
 981127  6906.50  1366.1280
 981128  6907.50  1366.1057
 981129  6908.50  1366.0119
 981130  6909.50  1365.9871
 981201  6910.50  1366.0717
 981202  6911.50  1366.1549
 981203  6912.50  1366.1676
 981204  6913.50  1366.1427
 981205  6914.50  1366.0863
 981206  6915.50  1365.9907
 981207  6916.50  1365.8584
 981208  6917.50  1365.7674
 981209  6918.50  1365.9055
 981210  6919.50  1366.1650
 981211  6920.50  1366.2540
 981212  6921.50  1366.0018
 981213  6922.50  1365.7344
