time,mg_index
2451322.0,0.27315
2451323.0,0.27423
2451324.0,0.27442
2451325.0,0.27511
2451326.0,0.27559
2451327.0,0.27608
2451328.0,0.27696
2451329.0,0.27677
2451330.0,0.27725
2451331.0,0.27774
2451332.0,0.27794
2451333.0,0.27774
2451334.0,0.27725
2451335.0,0.27716
2451336.0,0.27647
2451337.0,0.27677
2451338.0,0.27628
2451339.0,0.27550
2451340.0,0.27608
2451341.0,0.27647
2451342.0,0.27618
2451343.0,0.27481
2451344.0,0.27364
2451345.0,0.27306
2451346.0,0.27374
2451347.0,0.27315
2451348.0,0.27345
2451349.0,0.27306
2451350.0,0.27335
2451351.0,0.27452
2451352.0,0.27599
2451353.0,0.27774
2451354.0,0.27901
2451355.0,0.28018
2451356.0,0.28008
2451357.0,0.27960
2451358.0,0.27969
2451359.0,0.27999
2451360.0,0.27940
2451361.0,0.27979
2451362.0,0.27930
2451363.0,0.27882
2451364.0,0.27843
2451365.0,0.27716
2451366.0,0.27677
2451367.0,0.27755
2451368.0,0.27745
2451369.0,0.27608
2451370.0,0.27559
2451371.0,0.27491
2451372.0,0.27433
2451373.0,0.27364
2451374.0,0.27286
2451375.0,0.27140
2451376.0,0.27286
2451377.0,0.27364
2451378.0,0.27384
2451379.0,0.27345
2451380.0,0.27462
2451381.0,0.27530
2451382.0,0.27550
2451383.0,0.27628
2451384.0,0.27618
2451385.0,0.27647
2451386.0,0.27774
2451387.0,0.27901
2451388.0,0.27940
2451389.0,0.27979
2451390.0,0.27999
2451391.0,0.27891
2451392.0,0.27872
2451393.0,0.27989
2451394.0,0.27891
2451395.0,0.27794
2451396.0,0.27579
2451397.0,0.27599
2451398.0,0.27511
2451399.0,0.27403
2451400.0,0.27364
2451401.0,0.27208
2451402.0,0.27179
2451403.0,0.27257
2451404.0,0.27286
2451405.0,0.27306
2451406.0,0.27267
2451407.0,0.27286
2451408.0,0.27247
2451409.0,0.27345
2451410.0,0.27267
2451411.0,0.27599
2451412.0,0.27677
2451413.0,0.27813
2451414.0,0.27960
2451415.0,0.28067
2451416.0,0.28184
2451417.0,0.28204
2451418.0,0.28262
2451419.0,0.28155
2451420.0,0.28077
2451421.0,0.27979
2451422.0,0.27852
2451423.0,0.27647
2451424.0,0.27569
2451425.0,0.27462
2451426.0,0.27374
2451427.0,0.27179
2451428.0,0.27189
2451429.0,0.27169
2451430.0,0.27179
2451431.0,0.27237
2451432.0,0.27247
2451433.0,0.27325
2451434.0,0.27374
2451435.0,0.27442
2451436.0,0.27394
2451437.0,0.27442
2451438.0,0.27511
2451439.0,0.27481
2451440.0,0.27530
2451441.0,0.27511
2451442.0,0.27579
2451443.0,0.27608
2451444.0,0.27618
2451445.0,0.27569
2451446.0,0.27511
2451447.0,0.27423
2451448.0,0.27384
2451449.0,0.27413
2451450.0,0.27296
2451451.0,0.27276
2451452.0,0.27306
2451453.0,0.27355
2451454.0,0.27374
2451455.0,0.27374
2451456.0,0.27520
2451457.0,0.27589
2451458.0,0.27647
2451459.0,0.27696
2451460.0,0.27725
2451461.0,0.27735
2451462.0,0.27764
2451463.0,0.27774
2451464.0,0.27843
2451465.0,0.27803
2451466.0,0.27696
2451467.0,0.27667
2451468.0,0.27706
2451469.0,0.27667
2451470.0,0.27628
