time,LymanAlpha,type
1999363,4.55,1
1999364,4.54,1
1999365,4.55,1
2000001,4.59,1
2000002,4.61,1
2000003,4.64,1
2000004,4.69,1
2000005,4.78,1
2000006,4.85,1
2000007,4.96,1
2000008,5.04,1
2000009,5.12,1
2000010,5.16,1
2000011,5.22,1
2000012,5.31,1
2000013,5.39,1
2000014,5.49,1
2000015,5.54,1
2000016,5.57,1
2000017,5.53,1
2000018,5.48,1
2000019,5.40,1
2000020,5.32,1
2000021,5.19,1
2000022,5.06,1
2000023,4.94,1
2000024,4.87,1
2000025,4.81,1
2000026,4.75,1
2000027,4.73,1
2000028,4.73,1
2000029,4.75,1
2000030,4.80,1
2000031,4.87,1
2000032,4.94,1
2000033,4.98,1
2000034,5.03,1
2000035,5.12,1
2000036,5.21,1
2000037,5.29,1
2000038,5.38,1
2000039,5.47,1
2000040,5.51,1
2000041,5.50,1
2000042,5.46,1
2000043,5.46,1
2000044,5.45,1
2000045,5.43,1
2000046,5.33,1
2000047,5.20,1
2000048,5.07,1
2000049,4.98,1
2000050,4.92,1
2000051,4.86,1
2000052,4.82,1
2000053,4.78,1
2000054,4.76,1
2000055,4.82,1
2000056,4.94,1
2000057,5.10,1
2000058,5.26,1
2000059,5.37,1
2000060,5.47,1
2000061,5.51,1
2000062,5.54,1
2000063,5.53,1
2000064,5.53,1
2000065,5.54,1
2000066,5.53,1
2000067,5.47,1
2000068,5.42,1
2000069,5.37,1
2000070,5.36,1
2000071,5.38,1
2000072,5.40,1
2000073,5.39,1
2000074,5.30,1
2000075,5.17,1
2000076,5.08,1
2000077,5.03,1
2000078,5.04,1
2000079,5.07,1
2000080,5.14,1
2000081,5.20,1
2000082,5.27,1
2000083,5.35,1
2000084,5.45,1
2000085,5.56,1
2000086,5.65,1
2000087,5.72,1
2000088,5.76,1
2000089,5.76,1
2000090,5.75,1
2000091,5.75,1
2000092,5.75,1
2000093,5.76,1
2000094,5.72,1
2000095,5.64,1
2000096,5.56,1
2000097,5.47,1
2000098,5.42,1
2000099,5.39,1
2000100,5.38,1
2000101,5.37,1
2000102,5.37,1
2000103,5.39,1
2000104,5.41,1
2000105,5.36,1
2000106,5.29,1
2000107,5.21,1
2000108,5.19,1
2000109,5.17,1
2000110,5.20,1
2000111,5.23,1
2000112,5.27,1
2000113,5.30,1
2000114,5.34,1
2000115,5.37,1
2000116,5.37,1
2000117,5.36,1
2000118,5.31,1
2000119,5.28,1
2000120,5.24,1
2000121,5.20,1
2000122,5.14,1
2000123,5.06,1
2000124,5.01,1
2000125,4.98,1
2000126,4.97,1
2000127,4.98,1
2000128,5.01,1
2000129,5.06,1
2000130,5.13,1
2000131,5.22,1
2000132,5.33,1
2000133,5.42,1
2000134,5.49,1
2000135,5.56,1
2000136,5.63,1
2000137,5.70,1
2000138,5.75,1
2000139,5.75,1
2000140,5.67,1
2000141,5.55,1
2000142,5.44,1
2000143,5.35,1
2000144,5.26,1
2000145,5.12,1
2000146,4.97,1
2000147,4.88,1
2000148,4.81,1
2000149,4.78,1
2000150,4.71,1
2000151,4.71,1
2000152,4.73,1
2000153,4.81,1
2000154,4.87,1
2000155,4.96,1
2000156,5.04,1
2000157,5.12,1
2000158,5.19,1
2000159,5.21,1
2000160,5.26,1
2000161,5.33,1
2000162,5.46,1
2000163,5.58,1
2000164,5.62,1
